Target_Dev_Family,Target_Dev,BRAM_18K,DSP48E,FF,LUT,BRAM_18K_avail,DSP48E_avail,FF_avail,LUT_avail,BRAM_18K_RATIO,DSP48E_RATIO,FF_RATIO,LUT_RATIO,Target_CP,Estimated_CP,Clock_Uncertainty,DSP_BRAM_18K,DSP_DSP48E,DSP_FF,DSP_LUT,EXP_BRAM_18K,EXP_DSP48E,EXP_FF,EXP_LUT,FIFO_BRAM_18K,FIFO_DSP48E,FIFO_FF,FIFO_LUT,MEM_BRAM_18K,MEM_DSP48E,MEM_FF,MEM_LUT,MUX_BRAM_18K,MUX_DSP48E,MUX_FF,MUX_LUT,REG_BRAM_18K,REG_DSP48E,REG_FF,REG_LUT,MEM_WORDS_TOTAL,MEM_BITS_TOTAL,MEM_BANKS_TOTAL,MEM_TOTAL_TOTAL,MUX_INSIZE_TOTAL,MUX_BITWIDTH_TOTAL,MUX_TOTALBITS_TOTAL,mul_op_lut,mul_op_ff,mul_op_dsp,add_op_lut,add_op_ff,add_op_dsp,sub_op_lut,sub_op_ff,sub_op_dsp,or_op_lut,or_op_ff,or_op_dsp,and_op_lut,and_op_ff,and_op_dsp,xor_op_lut,xor_op_ff,xor_op_dsp,shl_op_lut,shl_op_ff,shl_op_dsp,lshr_op_lut,lshr_op_ff,lshr_op_dsp,ashr_op_lut,ashr_op_ff,ashr_op_dsp,ctlz_op_lut,ctlz_op_ff,ctlz_op_dsp,cttz_op_lut,cttz_op_ff,cttz_op_dsp,icmp_op_lut,icmp_op_ff,icmp_op_dsp,select_op_lut,select_op_ff,select_op_dsp,mul_sum,add_sum,sub_sum,or_sum,and_sum,xor_sum,shl_sum,lshr_sum,ashr_sum,ctlz_sum,cttz_sum,icmp_sum,select_sum,dexp_lut,dexp_ff,dexp_dsp,dexp_bram,ext_lut,ext_ff,ext_dsp,ext_bram,fsub_lut,fsub_ff,fsub_dsp,fsub_bram,srem_lut,srem_ff,srem_dsp,srem_bram,frem_lut,frem_ff,frem_dsp,frem_bram,dmul_lut,dmul_ff,dmul_dsp,dmul_bram,urem_lut,urem_ff,urem_dsp,urem_bram,fmul_lut,fmul_ff,fmul_dsp,fmul_bram,frecip_lut,frecip_ff,frecip_dsp,frecip_bram,dsqrt_lut,dsqrt_ff,dsqrt_dsp,dsqrt_bram,drem_lut,drem_ff,drem_dsp,drem_bram,others_lut,others_ff,others_dsp,others_bram,icmp_lut,icmp_ff,icmp_dsp,icmp_bram,fsqrt_lut,fsqrt_ff,fsqrt_dsp,fsqrt_bram,dsub_lut,dsub_ff,dsub_dsp,dsub_bram,ddiv_lut,ddiv_ff,ddiv_dsp,ddiv_bram,sub_lut,sub_ff,sub_dsp,sub_bram,lshr_lut,lshr_ff,lshr_dsp,lshr_bram,sdiv_lut,sdiv_ff,sdiv_dsp,sdiv_bram,dadd_lut,dadd_ff,dadd_dsp,dadd_bram,vectors_lut,vectors_ff,vectors_dsp,vectors_bram,frsqrt_lut,frsqrt_ff,frsqrt_dsp,frsqrt_bram,mux_lut,mux_ff,mux_dsp,mux_bram,fcmp_lut,fcmp_ff,fcmp_dsp,fcmp_bram,drecip_lut,drecip_ff,drecip_dsp,drecip_bram,add_lut,add_ff,add_dsp,add_bram,fdiv_lut,fdiv_ff,fdiv_dsp,fdiv_bram,dcmp_lut,dcmp_ff,dcmp_dsp,dcmp_bram,drsqrt_lut,drsqrt_ff,drsqrt_dsp,drsqrt_bram,fadd_lut,fadd_ff,fadd_dsp,fadd_bram,mul_lut,mul_ff,mul_dsp,mul_bram,udiv_lut,udiv_ff,udiv_dsp,udiv_bram,shl_lut,shl_ff,shl_dsp,shl_bram,ashr_lut,ashr_ff,ashr_dsp,ashr_bram,CP_lsynth,LUT_lsynth,FF_lsynth,DSP_lsynth,BRAM_lsynth,SRL_lsynth,CP_impl,SLICE_impl,LUT_impl,FF_impl,DSP_impl,BRAM_impl,SRL_impl
1,1,70,384,35387,11711,280,220,106400,53200,0.25,1.74545454545455,0.332584586466165,0.220131578947368,3,2.77,0.38,0,0,0,0,0,0,0,4302,0,0,0,1,70,0,1024,256,0,0,0,3999,0,0,12519,1248,9620,2602,133,154784,827,1033,3763,0,0,0,3284,0,0,105,0,0,296,0,0,352,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,2740,68,37,44,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.906,10091,16953,220,102,640,6.767,5323,7438,15782,220,102,482
2,3,70,288,6722,10619,270,240,126800,63400,0.259259259259259,1.2,0.05301261829653,0.167492113564669,10,8.63,1.25,0,0,0,0,0,288,0,6300,0,0,0,1,70,0,1024,256,0,0,0,3981,0,0,5614,64,9620,2602,133,154784,821,1030,3757,2144,0,288,3130,0,0,105,0,0,296,0,0,360,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,2944,2740,68,37,45,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,5935,2640,224,102,0,9.55,1831,5847,2643,224,102,0
1,1,70,384,60114,14745,280,220,106400,53200,0.25,1.74545454545455,0.564981203007519,0.277161654135338,1,2.77,0.12,0,0,0,0,0,0,0,1133,0,0,0,1,70,0,3104,256,0,0,0,4040,0,0,12586,1248,9620,2602,133,154784,834,1039,3780,0,0,0,180,0,0,40,0,0,296,0,0,352,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,84,17,37,44,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.906,12249,21382,220,102,2724,6.939,5950,8644,19355,220,102,1637
2,3,70,384,61042,14681,270,240,126800,63400,0.259259259259259,1.6,0.481403785488959,0.231561514195584,1,2.12,0.12,0,0,0,0,0,0,0,1133,0,0,0,1,70,0,3104,256,0,0,0,4040,0,0,12586,1248,9620,2602,133,154784,834,1039,3780,0,0,0,180,0,0,40,0,0,296,0,0,352,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,84,17,37,44,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.324,9948,20862,224,102,2740,4.33,5014,7441,18897,224,102,1650
0,0,70,384,34784,11498,1590,1260,728400,364200,0.044025157232704,0.304761904761905,0.04775398132894,0.031570565623284,3,2.53,0.38,0,0,0,0,0,0,0,4156,0,0,0,1,70,0,1024,256,0,0,0,3996,0,0,11916,1184,9620,2602,133,154784,826,1032,3762,0,0,0,3130,0,0,105,0,0,296,0,0,360,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,2740,68,37,45,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.878,7232,15951,224,102,656,2.966,4531,5645,14767,224,102,494
3,4,70,384,35712,11079,650,600,202800,101400,0.107692307692308,0.64,0.176094674556213,0.109260355029586,3,2.52,0.38,0,0,0,0,0,0,0,4156,0,0,0,1,70,0,1024,256,0,0,0,3641,0,0,11916,1184,9620,2602,133,154784,826,1032,3762,0,0,0,3130,0,0,105,0,0,296,0,0,360,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,2740,68,37,45,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.103,7233,15951,224,102,656,2.936,3998,5613,14767,224,102,494
2,3,70,384,43868,11551,270,240,126800,63400,0.259259259259259,1.6,0.34596214511041,0.182192429022082,3,2.53,0.38,0,0,0,0,0,0,0,2446,0,0,0,1,70,0,1024,256,0,0,0,3999,0,0,12520,1248,9620,2602,133,154784,827,1033,3763,0,0,0,1428,0,0,105,0,0,296,0,0,352,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,1108,68,37,44,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.324,7796,18318,224,102,661,4.385,5038,6252,17276,224,102,512
1,1,70,384,32487,10343,280,220,106400,53200,0.25,1.74545454545455,0.305328947368421,0.194417293233083,5,4.19,0.62,0,0,0,0,0,0,0,4156,0,0,0,1,70,0,1024,256,0,0,0,3993,0,0,11667,1184,9620,2602,133,154784,825,1032,3761,0,0,0,3130,0,0,105,0,0,296,0,0,360,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,2740,68,37,45,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.906,9662,13720,220,102,640,6.6,4720,7022,13434,220,102,482
3,4,70,384,24046,12666,650,600,202800,101400,0.107692307692308,0.64,0.118570019723866,0.12491124260355,5,4.11,0.62,0,0,0,0,0,0,0,4156,0,0,0,1,70,0,1024,256,0,0,0,3628,0,0,7514,160,9620,2602,133,154784,823,1031,3759,0,0,0,3130,0,0,105,0,0,296,0,0,360,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,0,2740,68,37,45,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.108,7856,7010,224,102,6,4.845,2784,6454,7013,224,102,5
1,1,70,288,7228,11003,280,220,106400,53200,0.25,1.30909090909091,0.067932330827068,0.206823308270677,10,8.16,1.25,0,0,0,0,0,288,0,6684,0,0,0,1,70,0,1024,256,0,0,0,3981,0,0,6120,64,9620,2602,133,154784,821,1030,3757,2528,0,288,3130,0,0,105,0,0,296,0,0,360,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,53,0,0,2944,2740,68,37,45,26,0,0,0,0,0,117,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.704,6049,2637,220,102,0,9.824,1884,5828,2640,220,102,0
