,BRAM_impl,DSP_impl,FF_impl,LUT_impl
DSP,,0.928254638580882,0.09924271286671434,0.01584061493933108
DSP48E_RATIO,,0.02923629462015397,0.033404060499795274,0.13030449507193348
Estimated_CP,,0.00030887790646117873,,
MEM_TOTAL_TOTAL,0.031656256825091766,0.028853441696820945,0.1007227423393939,0.06121374037952265
xor_op_lut,,0.012328975212380668,,
lshr_op_lut,,0.010097726745350373,0.013931013522422429,0.0026367764204444076
ashr_op_lut,,3.499072908971562e-05,,
cttz_op_lut,0.021723331619855735,0.06582170947704223,0.02532879543157828,0.09897688183451189
cttz_op_ff,1.286944284239195e-08,7.335568951621278e-10,1.8918079553339204e-09,5.7397529156729735e-09
icmp_op_lut,,0.014407165828074567,0.003635343168733223,
mul_sum,,0.022934038152686343,,
xor_sum,,0.07094472318656266,,
ashr_sum,,0.0016950659476556345,,
cttz_sum,0.0,0.007618368348869564,7.620283164113367e-06,0.0003778668943191356
dexp_lut,,0.00566096140050259,,0.0060620017889807965
dexp_dsp,,0.011982922820202965,0.0009337237589712514,0.08902637769175913
dmul_dsp,,0.021314735332847768,,
sub_ff,,0.009609420252771428,0.028109627162912234,
mux_ff,,0.01486244760620085,,
mul_dsp,,0.020555921142760492,0.006683031161558469,0.03674746579953609
udiv_ff,,0.0037187294658086083,,
LUT,,,,0.34209936027152116
FF,,,0.4560077221124512,0.23282133605092212
DSP48E_avail,,,,0.013988171426792694
DSP_DSP48E,,,,0.001591600916907204
MEM_FF,,,0.07953334576674002,0.010552729856287265
MUX_TOTALBITS_TOTAL,,,,0.08633506116320859
add_op_lut,,,,0.11580830485316056
shl_op_ff,,,,0.059377832754675314
add_sum,,,,0.0690052633987019
or_sum,,,0.0383920115398223,0.0197895154216481
icmp_sum,,,0.032860391822305816,0.04489323817777321
fmul_ff,,,,0.0036885584690900513
ddiv_lut,,,,0.05063088103048262
lshr_lut,,,0.026342716945283322,0.032546040374675435
dadd_ff,,,0.044465778318804015,0.02125549116817179
dadd_dsp,,,,0.026502254345252937
vectors_lut,,,0.023288943097017005,0.0812992852116437
fcmp_lut,,,,0.0020478809857923876
add_ff,,,0.01718904815700556,0.015664967895168205
fdiv_ff,,,,0.04051429841777785
udiv_lut,,,0.007940146783056745,0.011309013008920569
shl_dsp,,,,0.0011705881085437855
BRAM,0.7938465990965891,,,
MEM_BRAM_18K,0.16388802469164743,,,
BRAM_18K_RATIO,,,0.009564545992931653,
FF_RATIO,,,0.052961994056811616,
Target_CP,,,0.02057826482082284,
EXP_DSP48E,,,0.007989744077789296,
REG_FF,,,0.16689237149371852,
REG_LUT,,,0.03874539749877621,
mul_op_dsp,,,8.333831083401012e-05,
sub_op_lut,,,0.032833913913275,
lshr_sum,,,0.0055664803902946225,
dexp_ff,,,0.16307896483739395,
dsub_ff,,,0.03966559006567695,
ddiv_ff,,,0.06050603084048581,
add_bram,,,0.026317263965646258,
