,BRAM_impl,DSP_impl,FF_impl,LUT_impl
DSP,,0.3612273335456848,0.038300834596157074,0.07927677035331726
DSP48E_RATIO,,0.14783822000026703,0.022980501875281334,0.0166898462921381
Estimated_CP,,0.08647140860557556,,
MEM_TOTAL_TOTAL,0.25223881006240845,0.05997210741043091,0.05083565413951874,0.037552155554294586
xor_op_lut,,0.032078102231025696,,
lshr_op_lut,,0.03486750274896622,0.028551531955599785,0.04172461852431297
ashr_op_lut,,0.016736401244997978,,
cttz_op_lut,0.0,0.0,0.0,0.0
cttz_op_ff,0.0,0.0,0.0,0.0
icmp_op_lut,,0.050209205597639084,0.02089136466383934,
mul_sum,,0.15481171011924744,,
xor_sum,,0.01115760114043951,,
ashr_sum,,0.0,,
cttz_sum,0.0,0.0,0.0,0.0
dexp_lut,,0.02370990253984928,,0.0
dexp_dsp,,0.0013947001425549388,0.0020891365129500628,0.0
dmul_dsp,,0.015341701917350292,,
sub_ff,,0.0013947001425549388,0.02089136466383934,
mux_ff,,0.0027894002851098776,,
mul_dsp,,0.0,0.009749303571879864,0.030598053708672523
udiv_ff,,0.0,,
LUT,,,,0.21418637037277222
FF,,,0.3662952780723572,0.09179415553808212
DSP48E_avail,,,,0.0013908206019550562
DSP_DSP48E,,,,0.012517385184764862
MEM_FF,,,0.03551531955599785,0.04033379629254341
MUX_TOTALBITS_TOTAL,,,,0.21279555559158325
add_op_lut,,,,0.03894297778606415
shl_op_ff,,,,0.005563282407820225
add_sum,,,,0.0166898462921381
or_sum,,,0.03133704885840416,0.04172461852431297
icmp_sum,,,0.005571030545979738,0.0778859555721283
fmul_ff,,,,0.0
ddiv_lut,,,,0.02364395000040531
lshr_lut,,,0.011142061091959476,0.0
dadd_ff,,,0.011838439851999283,0.0013908206019550562
dadd_dsp,,,,0.009735744446516037
vectors_lut,,,0.0013927576364949346,0.0
fcmp_lut,,,,0.0
add_ff,,,0.008356546051800251,0.005563282407820225
fdiv_ff,,,,0.0
udiv_lut,,,0.0,0.0
shl_dsp,,,,0.0
BRAM_18K_RATIO,,,0.05013927444815636,
FF_RATIO,,,0.02506963722407818,
Target_CP,,,0.017409469932317734,
EXP_DSP48E,,,0.0,
REG_FF,,,0.09540390223264694,
REG_LUT,,,0.0410863496363163,
mul_op_dsp,,,0.0,
sub_op_lut,,,0.02646239474415779,
lshr_sum,,,0.0,
dexp_ff,,,0.006963788531720638,
dsub_ff,,,0.03481893986463547,
ddiv_ff,,,0.03690807893872261,
add_bram,,,0.0,
BRAM,0.41791045665740967,,,
MEM_BRAM_18K,0.3298507332801819,,,
